cc,pc,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy
JP,969-3101,Yamakamihara,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,3
JP,969-3101,Nagasaka,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,3
JP,969-3101,Hodozuka,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,3
JP,969-3101,Henzawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,3
JP,969-3101,Biwasawahara,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,3
JP,969-3102,Nekoishiyama,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3102,Nishimine,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3102,Ukonyama,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3102,Mineyama,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3102,Mine,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3102,Hinakusa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3102,Hayama,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Kanozakai,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Machishimada,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Gorimpara,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Suwamae,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Netsugi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Suwahigashi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Kamimurahigashi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Kamimuramae,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Suwanishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Kirinokizawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Hanokizawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3103,Hayashizaki,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3948,140.4063,1
JP,969-3111,Kubota,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
JP,969-3111,Itabashikita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Ota,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
JP,969-3111,Ogurogawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Numata,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Gosandan,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Kubonochi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Higashimachiura,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Kubominami,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Murahigashi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Gohyakugari,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Murahigashishita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Nichoda,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Myoen,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Ikazuchi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Sarudan,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Izumodan,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3111,Otanishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.2409,140.6524,3
JP,969-3112,Nakamachi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
JP,969-3112,Terago,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.4371,140.4706,3
JP,969-3112,Baba,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
